metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2004,"Fairfield County",CT,us-ct-001,0.05300005605835
Metropolitan,2004,"Hartford County",CT,us-ct-003,0.06700004376942
Metropolitan,2004,"Middlesex County",CT,us-ct-007,0.05600026654894
Metropolitan,2004,"New Haven County",CT,us-ct-009,0.06700008849006
Metropolitan,2004,"New London County",CT,us-ct-011,0.06600022602817
Metropolitan,2004,"Tolland County",CT,us-ct-013,0.054
Metropolitan,2004,"Anchorage Municipality",AK,us-ak-020,0.05200014759292
Metropolitan,2004,"Fairbanks North Star Borough",AK,us-ak-090,0.048
Metropolitan,2004,"Matanuska-Susitna Borough",AK,us-ak-170,0.0590011089662
Metropolitan,2004,"Autauga County",AL,us-al-001,0.075000759117
Metropolitan,2004,"Bibb County",AL,us-al-007,0.068
Metropolitan,2004,"Blount County",AL,us-al-009,0.0700010119409
Metropolitan,2004,"Calhoun County",AL,us-al-015,0.08600075258245
Metropolitan,2004,"Chilton County",AL,us-al-021,0.06900127098803
Metropolitan,2004,"Colbert County",AL,us-al-033,0.07800044151193
Metropolitan,2004,"Elmore County",AL,us-al-051,0.06400046391155
Metropolitan,2004,"Etowah County",AL,us-al-055,0.07600057418016
Metropolitan,2004,"Geneva County",AL,us-al-061,0.07300261096606
Metropolitan,2004,"Greene County",AL,us-al-063,0.0880059970015
Metropolitan,2004,"Hale County",AL,us-al-065,0.07700197238659
Metropolitan,2004,"Henry County",AL,us-al-067,0.07400487408611
Metropolitan,2004,"Houston County",AL,us-al-069,0.07600042138848
Metropolitan,2004,"Jefferson County",AL,us-al-073,0.07700014667088
Metropolitan,2004,"Lauderdale County",AL,us-al-077,0.06600003039375
Metropolitan,2004,"Lawrence County",AL,us-al-079,0.06900119379228
Metropolitan,2004,"Lee County",AL,us-al-081,0.05800058292043
Metropolitan,2004,"Limestone County",AL,us-al-083,0.06500110103497
Metropolitan,2004,"Lowndes County",AL,us-al-085,0.08400178253119
Metropolitan,2004,"Madison County",AL,us-al-089,0.06500016520266
Metropolitan,2004,"Mobile County",AL,us-al-097,0.07900019681165
Metropolitan,2004,"Montgomery County",AL,us-al-101,0.09000018983377
Metropolitan,2004,"Morgan County",AL,us-al-103,0.07000024415851
Metropolitan,2004,"Russell County",AL,us-al-113,0.08300214438885
Metropolitan,2004,"Shelby County",AL,us-al-117,0.05600013679423
Metropolitan,2004,"St. Clair County",AL,us-al-115,0.07000038824397
Metropolitan,2004,"Tuscaloosa County",AL,us-al-125,0.06600001635283
Metropolitan,2004,"Walker County",AL,us-al-127,0.08600015572686
Metropolitan,2004,"Benton County",AR,us-ar-007,0.05700030238887
Metropolitan,2004,"Cleveland County",AR,us-ar-025,0.06800569349992
Metropolitan,2004,"Craighead County",AR,us-ar-031,0.06000063678044
Metropolitan,2004,"Crawford County",AR,us-ar-033,0.06100037608123
Metropolitan,2004,"Crittenden County",AR,us-ar-035,0.07100017639795
Metropolitan,2004,"Faulkner County",AR,us-ar-045,0.06000059509641
Metropolitan,2004,"Franklin County",AR,us-ar-047,0.06600306278714
Metropolitan,2004,"Garland County",AR,us-ar-051,0.0760001707869
Metropolitan,2004,"Grant County",AR,us-ar-053,0.06200381073357
Metropolitan,2004,"Jefferson County",AR,us-ar-069,0.08200125972456
Metropolitan,2004,"Lincoln County",AR,us-ar-079,0.06400506970849
Metropolitan,2004,"Lonoke County",AR,us-ar-085,0.06200024603272
Metropolitan,2004,"Madison County",AR,us-ar-087,0.06600189933523
Metropolitan,2004,"Miller County",AR,us-ar-091,0.07900103640801
Metropolitan,2004,"Perry County",AR,us-ar-105,0.07400530503979
Metropolitan,2004,"Poinsett County",AR,us-ar-111,0.07700386954118
Metropolitan,2004,"Pulaski County",AR,us-ar-119,0.06800006018703
Metropolitan,2004,"Saline County",AR,us-ar-125,0.07100029136189
Metropolitan,2004,"Sebastian County",AR,us-ar-131,0.07000059322537
Metropolitan,2004,"Washington County",AR,us-ar-143,0.05700030238887
Metropolitan,2004,"Coconino County",AZ,us-az-005,0.05
Metropolitan,2004,"Maricopa County",AZ,us-az-013,0.06000001621852
Metropolitan,2004,"Pima County",AZ,us-az-019,0.06100004895075
Metropolitan,2004,"Pinal County",AZ,us-az-021,0.0900001254532
Metropolitan,2004,"Yavapai County",AZ,us-az-025,0.0670000478865
Metropolitan,2004,"Yuma County",AZ,us-az-027,0.07
Metropolitan,2004,"Alameda County",CA,us-ca-001,0.05900004743608
Metropolitan,2004,"Butte County",CA,us-ca-007,0.06800035598952
Metropolitan,2004,"Contra Costa County",CA,us-ca-013,0.06400007868805
Metropolitan,2004,"El Dorado County",CA,us-ca-017,0.07300036047583
Metropolitan,2004,"Fresno County",CA,us-ca-019,0.06300009572058
Metropolitan,2004,"Imperial County",CA,us-ca-025,0.06500014915133
Metropolitan,2004,"Kern County",CA,us-ca-029,0.07200001649532
Metropolitan,2004,"Kings County",CA,us-ca-031,0.05200016130333
Metropolitan,2004,"Los Angeles County",CA,us-ca-037,0.05800000523464
Metropolitan,2004,"Madera County",CA,us-ca-039,0.0640005114926
Metropolitan,2004,"Marin County",CA,us-ca-041,0.0650003143402
Metropolitan,2004,"Merced County",CA,us-ca-047,0.05900015519254
Metropolitan,2004,"Monterey County",CA,us-ca-053,0.057000098732
Metropolitan,2004,"Napa County",CA,us-ca-055,0.0680004178855
Metropolitan,2004,"Orange County",CA,us-ca-059,0.0630000033491
Metropolitan,2004,"Placer County",CA,us-ca-061,0.06
Metropolitan,2004,"Riverside County",CA,us-ca-065,0.06200003303941
Metropolitan,2004,"Sacramento County",CA,us-ca-067,0.06600005273844
Metropolitan,2004,"San Benito County",CA,us-ca-069,0.0580001630745
Metropolitan,2004,"San Bernardino County",CA,us-ca-071,0.06100000318513
Metropolitan,2004,"San Diego County",CA,us-ca-073,0.05700000477311
Metropolitan,2004,"San Francisco County",CA,us-ca-075,0.06600003103036
Metropolitan,2004,"San Joaquin County",CA,us-ca-077,0.0630000138492
Metropolitan,2004,"San Luis Obispo County",CA,us-ca-079,0.0650001548483
Metropolitan,2004,"San Mateo County",CA,us-ca-081,0.0620000384032
Metropolitan,2004,"Santa Barbara County",CA,us-ca-083,0.06200016719146
Metropolitan,2004,"Santa Clara County",CA,us-ca-085,0.0710000254257
Metropolitan,2004,"Santa Cruz County",CA,us-ca-087,0.05900020992685
Metropolitan,2004,"Shasta County",CA,us-ca-089,0.07700003877923
Metropolitan,2004,"Solano County",CA,us-ca-095,0.06400011060723
Metropolitan,2004,"Sonoma County",CA,us-ca-097,0.06400009300649
Metropolitan,2004,"Stanislaus County",CA,us-ca-099,0.06900000909331
Metropolitan,2004,"Sutter County",CA,us-ca-101,0.06600096206479
Metropolitan,2004,"Tulare County",CA,us-ca-107,0.06300022550947
Metropolitan,2004,"Ventura County",CA,us-ca-111,0.06700003280206
Metropolitan,2004,"Yolo County",CA,us-ca-113,0.05900000771242
Metropolitan,2004,"Yuba County",CA,us-ca-115,0.06400111711041
Metropolitan,2004,"Adams County",CO,us-co-001,0.05100011438312
Metropolitan,2004,"Arapahoe County",CO,us-co-005,0.05600006428784
Metropolitan,2004,"Boulder County",CO,us-co-013,0.04300000473725
Metropolitan,2004,"Broomfield County",CO,us-co-014,0.05500091872359
Metropolitan,2004,"Clear Creek County",CO,us-co-019,0.06
Metropolitan,2004,"Denver County",CO,us-co-031,0.04500002384234
Metropolitan,2004,"Douglas County",CO,us-co-035,0.045
Metropolitan,2004,"El Paso County",CO,us-co-041,0.05
Metropolitan,2004,"Elbert County",CO,us-co-039,0.05800139762404
